CURSO COMPACTO;CURSO;LINGUA PORTUGUESA E REDACAO;LITERATURA EM LINGUA PORTUGUESA;HIS;GEO;MAT;LINGUA ESTRANGERIA MODERNA;FIS;QUI;BIO;DENSIDADE 2024;AMPLA CONCORRÊNCIA;ESCOLA PÚBLICA
Administração - Bacharelado;Administração - Bacharelado - Diurno;3;1;2;2;3;1;1;1;1;3,61;524,27;427,76
;Administração - Bacharelado - Noturno;3;1;2;2;3;1;1;1;1;2,42;474,87;401,65
;Administração Pública e Social - Bacharelado - Noturno;3;1;2;2;3;1;1;1;1;0,71;416,05;
Agronomia - Bacharelado;Agronomia - Bacharelado;3;1;1;1;2;1;1;2;3;2,16;473,91;408,25
Arquitetura e Urbanismo - Bacharelado;Arquitetura e Urbanismo - Bacharelado;3;1;2;1;3;1;2;1;1;7,86;575,1;543,78
Arquivologia - Bacharelado;Arquivologia - Bacharelado - Noturno;3;2;3;1;1;2;1;1;1;0,76;409,5;
Artes Visuais - Bacharelado e Licenciatura;Artes Visuais - Bacharelado;3;2;3;1;1;2;1;1;1;7,17;539,39;532,41
;Artes Visuais - Licenciatura;3;2;3;1;1;2;1;1;1;3,3;502,67;457,95
Biblioteconomia - Bacharelado;Biblioteconomia - Bacharelado;3;2;3;1;1;2;1;1;1;0,87;393,63;416,54
Biomedicina - Bacharelado;Biomedicina - Bacharelado;3;1;1;1;2;1;2;2;2;18,4;588,19;547,18
Biotecnologia - Bacharelado;Biotecnologia - Bacharelado;3;1;1;1;2;1;2;2;2;3,43;575,44;446,52
Ciência da Computação - Bacharelado;Ciência da Computação - Bacharelado;3;1;1;1;3;2;2;1;1;16,13;643,15;622,96
Ciências Atuariais - Bacharelado;Ciências Atuariais - Bacharelado - Noturno;3;1;1;2;3;2;1;1;1;1;390,96;424,36
Ciências Biológicas - Bacharelado e Licenciatura;Ciências Biológicas - Bacharelado;3;1;1;1;1;1;2;2;3;4,37;530,77;488,97
;Ciências Biológicas - Licenciatura;3;1;1;1;1;1;2;2;3;2,38;529,85;463,92
Ciências Biológicas – Biologia Marinha – Bacharelado - Campus Litoral Norte;Ciências Biológicas - Biologia Marinha - Bacharelado - CLN;3;1;1;1;1;1;2;2;3;2,39;461,76;425,85
Ciências Contábeis - Bacharelado;Ciências Contábeis - Bacharelado - Noturno;3;1;2;1;3;2;1;1;1;1,77;449,18;364,21
Ciências Econômicas - Bacharelado;Ciências Econômicas - Bacharelado - Diurno;3;1;2;2;3;1;1;1;1;3,2;570,02;415,92
;Ciências Econômicas - Bacharelado - Noturno;3;1;2;2;3;1;1;1;1;2,93;534,84;490,56
Ciências Jurídicas e Sociais - Bacharelado;Ciências Jurídicas e Sociais - Direito - Bacharelado - Diurno;3;2;3;1;1;2;1;1;1;10,28;599,89;561,51
;Ciências Jurídicas e Sociais - Direito - Bacharelado - Noturno;3;2;3;1;1;2;1;1;1;6,9;561,78;535,4
Ciências Sociais - Bacharelado e Licenciatura;Ciências Sociais - Diurno;3;2;3;1;1;2;1;1;1;1,11;402,6;385,45
